Timestamp,OL_grade,AL_grade,any_english_course,OL_medium,AL_medium,spoken_prof,writing_prof,reading_prof,listening_prof,is_en_dev_program_good,student_feedback,join_english_club,en_dev_group,en_score,en_prof_level,sentiment,is_comment_in_en
2023-05-26 18:22:19.343,A,C,No,English Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Yes,A-3,23,2,no comment,-1
2023-05-26 21:46:30.002,A,C,No,Sinhala Medium,Sinhala Medium,3,3,4,4,Yes,no comment,Maybe,A-4,21,2,no comment,-1
2023-05-26 22:38:12.182,A,C,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,A-4,19,2,no comment,-1
2023-06-06 13:38:05.682,B,S,Yes,Sinhala Medium,Sinhala Medium,3,3,3,4,No,no comment,Maybe,A-4,19,2,no comment,-1
2023-06-06 13:41:13.197,B,C,Yes,Sinhala Medium,Sinhala Medium,3,4,5,4,Yes,no comment,Maybe,A-4,23,2,no comment,-1
2023-06-06 15:43:52.961,S,S,No,Sinhala Medium,Sinhala Medium,2,3,4,4,Yes,I enjoyed most the interactive sessions ,Yes,A-4,15,1,Positive,1
2023-06-06 20:54:45.279,S,W,No,Sinhala Medium,Sinhala Medium,2,2,2,2,Yes,no comment,Maybe,B-5,9,1,no comment,-1
2023-06-06 20:55:50.452,A,C,No,Sinhala Medium,Sinhala Medium,2,4,4,3,Yes,no comment,Yes,B-3,20,2,no comment,-1
2023-06-06 20:59:10.903,A,B,No,Sinhala Medium,Sinhala Medium,3,4,5,4,Yes,no comment,Maybe,B-1,25,2,no comment,-1
2023-06-06 21:00:27.431,A,C,No,Tamil Medium,Tamil Medium,3,3,4,4,Yes,no comment,Maybe,B-4,21,2,no comment,-1
2023-06-06 21:05:15.838,A,C,No,English Medium,Sinhala Medium,3,3,4,4,Yes,Actually English Program is well organized.Specially practical group activities are so useful.,Yes,A-4,22,2,Positive,1
2023-06-07 07:05:13.844,B,B,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,A-3,20,2,no comment,-1
2023-06-07 20:43:45.817,A,B,No,English Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Maybe,A-2,25,2,no comment,-1
2023-06-07 20:45:29.909,B,S,No,Sinhala Medium,Sinhala Medium,2,3,3,3,Yes,no comment,Maybe,A-4,16,2,no comment,-1
2023-06-07 20:55:11.409,A,C,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,no comment,B-3,19,2,no comment,-1
2023-06-07 21:09:25.207,A,C,No,Sinhala Medium,Sinhala Medium,3,2,2,2,Yes,Very good,Yes,A-4,16,2,Positive,1
